Date,Sport,Event,Time,Additional details,Location,Closest Metro,LEFT,Start time,RIGHT,End time
August 5,Diving,10m platform preliminary - women's,1000-1210,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1000,10:00,1210,12:10
August 5,Diving,10m platform semis - women's,1500-1700,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1500,15:00,1700,17:00
August 5,Water polo,Preliminary round (3 matches) - men's,1200-1630,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1200,12:00,1630,16:30
August 5,Water polo,Preliminary round (3 matches) - men's,1830-2300,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1830,18:30,2300,23:00
August 5,Track cycling,"M team sprint qualifying, M team pursuit qualifying, W team sprint qualifying, first round, medal finals",1700-2020,,Roland-Garros Stadium,Porte d'Auteuil (Metro 10),1700,17:00,2020,20:20
August 5,Table tennis,M/W team round of 16,1000-1300,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),1000,10:00,1300,13:00
August 5,Table tennis,M/W team round of 16,1500-1800,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),1500,15:00,1800,18:00
August 5,Table tennis,M/W team round of 16,2000-2300,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),2000,20:00,2300,23:00
August 5,Triathlon,Mixed team relay final,0800-1010,,Pont Alexandre III (start/finish),Invalides (RER C and Metro 13/8) or Franklin D. Roosevelt (Metro 1/9). Check ticket location and official website as bridge is closed. ,0800,08:00,1010,10:10
August 5,Sport climbing,"M boulder/lead semis (boulder), W speed qualification",1000-1400,,Place de la Concorde,Palais Royal-Musée du Louvre (Metro 1/7) closed 3-4 August. Second best: Auber (RER),1000,10:00,1400,14:00
August 5,Football,Semifinals - men's,1800-2100,,Multiple locations - check official documentation,,1800,18:00,2100,21:00
August 5,Football,Semifinals - men's,2100-0000,,Multiple locations - check official documentation,,2100,21:00,0000,00:00
August 5,Sailing,"M/W Kite, M/W/Mixed dinghy, Mixed multihull",1200-1900,,Marseille Marina,Vieux-Port - Hôtel de Ville (Metro 1),1200,12:00,1900,19:00
August 5,Shooting,25m rapid fire pistol finals - men's,0930-1050,,La Courneuve Shooting Range,La Courneuve (Metro 13),0930,09:30,1050,10:50
August 5,Shooting,Mixed team skeet qualification and finals,0900-1635,,La Courneuve Shooting Range,La Courneuve (Metro 13),0900,09:00,1635,16:35
August 5,Volleyball,M quarters,0900-1130,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),0900,09:00,1130,11:30
August 5,Volleyball,M quarters,1300-1530,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),1300,13:00,1530,15:30
August 5,Volleyball,M quarters,1700-1930,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),1700,17:00,1930,19:30
August 5,Volleyball,M quarters,2100-2330,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),2100,21:00,2330,23:30
August 5,Beach volleyball,M/W round of 16 (2 matches),0900-1100,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),0900,09:00,1100,11:00
August 5,Beach volleyball,M/W round of 16 (2 matches),1300-1500,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),1300,13:00,1500,15:00
August 5,Beach volleyball,M/W round of 16 (2 matches),1700-1900,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),1700,17:00,1900,19:00
August 5,Beach volleyball,M/W round of 16 (2 matches),2100-2300,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),2100,21:00,2300,23:00
August 5,Equestrian,Jumping ind. qualifier,1400-1800,,Château de Versailles,Versailles Château - Rive Gauche (RER C),1400,14:00,1800,18:00
August 5,Artistic gymnastics,"M parallel bars, W balance beam, M horizontal bar, W floor finals",1145-1515,,Bercy Arena,Bercy (Metro 6),1145,11:45,1515,15:15
August 5,Artistic swimming,Team technical routine,1930-2100,,Bercy Arena,Bercy (Metro 6),1930,19:30,2100,21:00
August 5,Basketball 3X3,M/W semis,1730-1930,,Place de la Concorde,Palais Royal-Musée du Louvre (Metro 1/7) closed 3-4 August. Second best: Auber (RER),1730,17:30,1930,19:30
August 5,Basketball 3X3,M/W medal finals,2100-2330,,Place de la Concorde,Palais Royal-Musée du Louvre (Metro 1/7) closed 3-4 August. Second best: Auber (RER),2100,21:00,2330,23:30
August 6,Canoe sprint,"M C2 500m, M K1 1000m, M K4 500m, W C2 500m, W K1 500m, W K4 500m heats and quarters",0930-1450,,Vaires-sur-Marne Nautical Stadium,Vaires (Transilien Paris-Est),0930,09:30,1450,14:50
August 6,Wrestling,"M Greco-Roman 60kg, M Greco-Roman 130kg, W freestyle 68kg repechage, M Greco-Roman 77kg, M Greco-Roman 97kg, W freestyle 50kg round of 16 and quarters",1100-1330,,Two locations – check official documentation,,1100,11:00,1330,13:30
